doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1111/2041-210X.12095,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12095,NA,2013-05-30,2013-07-15,2013-08-27,NA,NA,NA,NA,NA,NA,2013-07-26,NA,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12057,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12057,NA,2013-01-04,2013-03-24,2013-05-13,NA,2013-07-01,NA,NA,NA,NA,2013-03-28,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12052,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12052,NA,2013-03-02,2013-03-12,2013-04-29,NA,2013-07-01,NA,NA,NA,NA,2013-03-28,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12056,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12056,NA,2013-01-08,2013-03-21,2013-05-13,NA,2013-07-01,NA,NA,NA,NA,2013-03-26,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12053,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12053,NA,2013-03-04,2013-03-18,2013-04-26,NA,2013-07-01,NA,NA,NA,NA,2013-03-26,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12055,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12055,NA,2013-02-05,2013-02-27,2013-05-16,NA,2013-07-01,NA,NA,NA,NA,2013-03-26,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12051,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12051,NA,2012-12-30,2013-03-04,2013-04-29,NA,2013-07-01,NA,NA,NA,NA,2013-03-18,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12046,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12046,NA,2012-10-07,2013-02-27,2013-04-16,NA,2013-07-01,NA,NA,NA,NA,2013-03-11,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12050,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12050,NA,2013-01-30,2013-03-04,2013-04-08,NA,2013-07-01,NA,NA,NA,NA,2013-03-11,2013-07-02,NA,NA,NA,NA,FALSE
10.1111/2041-210x.12003,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210x.12003,NA,2012-08-03,2012-09-24,2012-11-29,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/j.2041-210x.2012.00263.x,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/j.2041-210x.2012.00263.x,NA,2012-07-30,2012-09-16,2012-11-27,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/j.2041-210x.2012.00262.x,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/j.2041-210x.2012.00262.x,NA,2012-08-14,2012-09-17,2012-11-19,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/2041-210x.12002,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210x.12002,NA,2012-08-20,2012-09-24,2012-11-16,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/2041-210X.12000,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210X.12000,NA,2012-06-29,2012-09-18,2012-11-16,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/j.2041-210x.2012.00260.x,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/j.2041-210x.2012.00260.x,NA,2012-06-16,2012-09-10,2012-11-16,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/j.2041-210x.2012.00259.x,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/j.2041-210x.2012.00259.x,NA,2012-07-05,2012-09-10,2012-11-16,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
10.1111/2041-210x.12009,Methods in Ecology and Evolution,http://doi.wiley.com/10.1111/2041-210x.12009,NA,2012-07-20,2012-10-15,2012-12-20,NA,2013-02-01,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,NA,FALSE
