doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1890/12-2087.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2087.1,H Hillebrand,2012-11-29,2013-02-04,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-04,NA,NA,NA,FALSE
10.1890/12-1151.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1151.1,J T Cronin,2012-07-04,2012-12-10,2013-07-11,2013-02-05,2013-07-01,NA,NA,NA,NA,NA,NA,2012-12-07,NA,NA,NA,FALSE
10.1890/12-1781.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1781.1,B J Grewell,2012-10-18,2012-11-30,2013-07-11,2013-02-06,2013-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-1443.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1443.1,R Greenberg,2012-08-22,2013-01-23,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-01-02,NA,NA,NA,FALSE
10.1890/12-1688.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1688.1,B D Inouye,2012-10-02,2013-03-12,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-03-07,NA,NA,NA,FALSE
10.1890/12-1365.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1365.1,B D Inouye,2012-08-06,2013-03-12,2013-03-15,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-03-01,NA,NA,NA,FALSE
10.1890/12-1613.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1613.1,E G Cooch,2012-09-18,2013-02-25,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-22,NA,NA,NA,FALSE
10.1890/12-1459.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1459.1,P R Leavitt,2012-08-24,2013-02-12,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-06,NA,NA,NA,FALSE
10.1890/11-2310.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/11-2310.1,J F Bruno,2011-12-31,2012-01-02,2013-07-11,2013-02-11,2013-07-01,NA,NA,NA,NA,NA,NA,2012-12-11,NA,NA,NA,FALSE
10.1890/12-1883.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1883.1,D C Speirs,2012-10-29,2013-02-12,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-07,NA,NA,NA,FALSE
10.1890/12-2063.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2063.1,N J Sanders,2012-11-27,2013-02-13,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-07,NA,NA,NA,FALSE
10.1890/12-2174.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2174.1,F A Smith,2012-12-14,2013-01-31,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-1339.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1339.1,W V Sobczak,2012-07-31,2012-01-31,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-01-11,NA,NA,NA,FALSE
10.1890/12-1366.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1366.1,J A Jones,2012-08-07,2013-01-31,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2012-12-11,NA,NA,NA,FALSE
10.1890/12-0606.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0606.1,P R Leavitt,2012-04-13,2013-01-31,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-01-21,NA,NA,NA,FALSE
10.1890/12-1873.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1873.1,D A Holway,2012-10-26,2013-02-07,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-05,NA,NA,NA,FALSE
10.1890/12-1840.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1840.1,R E Irwin,2012-10-23,2013-02-12,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-02-04,NA,NA,NA,FALSE
10.1890/12-1213.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1213.1,B D Inouye,2012-07-16,2013-01-23,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-11-12,NA,NA,NA,FALSE
10.1890/12-1850.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1850.1,D C Laughlin,2012-10-25,2013-01-23,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-01-21,NA,NA,NA,FALSE
10.1890/12-1582.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1582.1,C C Wilmers,2012-09-13,2013-01-31,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-01-18,NA,NA,NA,FALSE
10.1890/12-1700.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1700.1,J D Hoeksema,2012-10-02,2013-01-24,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-01-16,NA,NA,NA,FALSE
10.1890/12-1382.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1382.1,P T Raimondi,2012-08-10,2013-01-02,2013-06-19,2013-01-29,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-05,NA,NA,NA,FALSE
10.1890/12-2058.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2058.1,T J Valone,2012-11-26,2013-01-23,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-01-21,NA,NA,NA,FALSE
10.1890/11-2260.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/11-2260.1,J A Rosenheim,2011-12-16,2013-01-03,2013-06-19,2013-01-28,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-04,NA,NA,NA,FALSE
10.1890/12-1520.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1520.1,B D Inouye,2012-09-06,2013-01-04,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-01-02,NA,NA,NA,FALSE
10.1890/12-1350.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1350.1,D M Tompkins,2012-08-02,2012-01-16,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-06,NA,NA,NA,FALSE
10.1890/12-1531.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1531.1,J J Stachowicz,2012-09-05,2013-01-14,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-05,NA,NA,NA,FALSE
10.1890/12-1163.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1163.1,L Stone,2012-07-06,2013-01-03,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-11-13,NA,NA,NA,FALSE
