doi,journal,volume,editor,submitted,revised,decision,accepted,preprint,finalversion,online,issueonline,issuedate
10.7717/peerj.368,PeerJ,2,Stuart Pimm,2014-04-06,NA,NA,2014-04-11,NA,NA,2014-06-19,NA,NA
10.7717/peerj.442,PeerJ,2,Xiaolei Huang,2014-04-01,NA,NA,2014-06-02,NA,NA,2014-06-17,NA,NA
10.7717/peerj.371,PeerJ,2,Michael Wink,2013-10-31,NA,NA,2014-04-14,NA,NA,2014-06-17,NA,NA
10.7717/peerj.435,PeerJ,2,Leon Higley,2014-04-01,NA,NA,2014-05-29,NA,NA,2014-06-12,NA,NA
10.7717/peerj.424,PeerJ,2,Anna Traveset,2014-04-08,NA,NA,2014-05-20,NA,NA,2014-06-12,NA,NA
10.7717/peerj.438,PeerJ,2,Nigel Andrew,2014-03-28,NA,NA,2014-05-29,NA,NA,2014-06-10,NA,NA
10.7717/peerj.437,PeerJ,2,Dezene Huber,2014-03-30,NA,NA,2014-05-29,NA,NA,2014-06-10,NA,NA
10.7717/peerj.430,PeerJ,2,Hannah Buckley,2014-04-27,NA,NA,2014-05-26,NA,NA,2014-06-10,NA,NA
10.7717/peerj.418,PeerJ,2,Dezene Huber,2014-01-10,NA,NA,2014-05-17,NA,NA,2014-06-10,NA,NA
10.7717/peerj.404,PeerJ,2,Michael Huston,2013-10-23,NA,NA,2014-05-07,NA,NA,2014-06-10,NA,NA
10.7717/peerj.409,PeerJ,2,Chris Elphick,2014-02-13,NA,NA,2014-05-12,NA,NA,2014-06-03,NA,NA
10.7717/peerj.416,PeerJ,2,Gavin Stewart,2014-03-26,NA,NA,2014-05-15,NA,NA,2014-05-29,NA,NA
10.7717/peerj.411,PeerJ,2,Robert Toonen,2014-01-29,NA,NA,2014-05-12,NA,NA,2014-05-27,NA,NA
10.7717/peerj.408,PeerJ,2,Mark Hay,2014-03-27,NA,NA,2014-05-10,NA,NA,2014-05-27,NA,NA
10.7717/peerj.400,PeerJ,2,John Bruno,2013-12-20,NA,NA,2014-05-07,NA,NA,2014-05-27,NA,NA
10.7717/peerj.406,PeerJ,2,Hannah Buckley,2014-03-17,NA,NA,2014-05-08,NA,NA,2014-05-22,NA,NA
10.7717/peerj.389,PeerJ,2,Dezene Huber,2014-02-07,NA,NA,2014-04-30,NA,NA,2014-05-22,NA,NA
10.7717/peerj.388,PeerJ,2,Richard Cowling,2014-01-03,NA,NA,2014-04-30,NA,NA,2014-05-22,NA,NA
10.7717/peerj.394,PeerJ,2,Pei-Yuan Qian,2014-03-04,NA,NA,2014-05-03,NA,NA,2014-05-20,NA,NA
10.7717/peerj.387,PeerJ,2,Mark Hay,2014-03-21,NA,NA,2014-04-28,NA,NA,2014-05-15,NA,NA
10.7717/peerj.374,PeerJ,2,Stuart Pimm,2014-03-20,NA,NA,2014-04-18,NA,NA,2014-05-08,NA,NA
10.7717/peerj.376,PeerJ,2,Michael Singer,2014-02-07,NA,NA,2014-04-22,NA,NA,2014-05-06,NA,NA
10.7717/peerj.360,PeerJ,2,Marion Röder,2014-01-21,NA,NA,2014-04-03,NA,NA,2014-05-01,NA,NA
10.7717/peerj.358,PeerJ,2,Jack Stanford,2013-12-04,NA,NA,2014-04-02,NA,NA,2014-04-24,NA,NA
10.7717/peerj.348,PeerJ,2,Michael Somers,2014-02-03,NA,NA,2014-03-25,NA,NA,2014-04-15,NA,NA
10.7717/peerj.346,PeerJ,2,John Hutchinson,2013-12-07,NA,NA,2014-03-25,NA,NA,2014-04-10,NA,NA
