"doi","journal","url","editor","received","accepted","online","final_version","issue","first_decision","second_decision","third_decision","fourth_decision","preprint","issueonline","revised1","revised2","revised3","revised4","error"
"10.1371/journal.pone.0060756","PLoS ONE",NA,"M Alex Smith",2012-11-09,2013-03-02,2013-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0017342","PLoS ONE",NA,"Thomas Bell",2010-08-24,2011-01-31,2011-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049024","PLoS ONE",NA,"James F Cahill",2012-06-07,2012-10-03,2012-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0017476","PLoS ONE",NA,"Tamara Romanuk",2010-10-21,2011-02-03,2011-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0059813","PLoS ONE",NA,"Luis A Nunes Amaral",2012-09-16,2013-02-19,2013-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0013382","PLoS ONE",NA,"Justin O Borevitz",2010-06-21,2010-09-20,2010-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0073249","PLoS ONE",NA,"Simon Thrush",2013-04-07,2013-07-18,2013-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0007460","PLoS ONE",NA,"Stephen J Cornell",2009-05-06,2009-09-25,2009-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0008895","PLoS ONE",NA,"Stuart A Sandin",2009-06-23,2009-12-28,2010-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001343","PLoS Biology",NA,"none",NA,NA,2012-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0052604","PLoS ONE",NA,"Adina Maya Merenlender",2012-08-07,2012-11-20,2012-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.0060066","PLoS Biology",NA,"none",NA,NA,2008-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0074025","PLoS ONE",NA,"Yamir Moreno",2013-06-19,2013-07-26,2013-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0030050","PLoS ONE",NA,"Han Y H Chen",2011-06-17,2011-12-09,2012-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0000005","PLoS ONE",NA,"Oliver Hofmann",2006-08-14,2006-08-23,2006-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0057072","PLoS ONE",NA,"Richard K F Unsworth",2012-10-15,2013-01-17,2013-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0051488","PLoS ONE",NA,"Anna Traveset",2012-08-21,2012-11-05,2012-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0021972","PLoS ONE",NA,"Michael A Brockhurst",2011-02-08,2011-06-15,2011-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0020672","PLoS ONE",NA,"Simon Thrush",2011-03-21,2011-05-07,2011-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.0040278","PLoS Biology",NA,"none",NA,NA,2006-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0085513","PLoS ONE",NA,"Dafeng Hui",2013-09-27,2013-11-27,2014-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0013666","PLoS ONE",NA,"Brock Fenton",2010-07-01,2010-10-06,2010-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0046164","PLoS ONE",NA,"Nicolas Mouquet",2012-03-25,2012-08-30,2012-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0082768","PLoS ONE",NA,"Angel Sanchez",2013-07-26,2013-10-28,2013-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0059664","PLoS ONE",NA,"Johannes Jaeger",2012-05-23,2013-02-20,2013-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001344","PLoS Biology",NA,"Georgina Mace",NA,NA,2012-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0024107","PLoS ONE",NA,"Nicolas Mouquet",2010-12-29,2011-08-04,2011-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001487","PLoS Biology",NA,"none",NA,NA,2013-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0027785","PLoS ONE",NA,"M Alex Smith",2011-08-12,2011-10-25,2011-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pcbi.0010018","PLoS Computational Biology",NA,"none",NA,NA,2005-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0095890","PLoS ONE",NA,"Keping Ma",2013-12-02,2014-04-01,2014-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0036196","PLoS ONE",NA,"Jon Moen",2012-01-23,2012-04-03,2012-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0053009","PLoS ONE",NA,"Simon Thrush",2012-09-11,2012-11-26,2012-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0053139","PLoS ONE",NA,"Raphael Arlettaz",2012-08-30,2012-11-23,2013-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0034096","PLoS ONE",NA,"Ricard V Sole",2011-10-13,2012-02-21,2012-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0054689","PLoS ONE",NA,"Kimberly Patraw Van Niel",2012-03-22,2012-12-17,2013-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0084198","PLoS ONE",NA,"David William Pond",2013-08-19,2013-11-13,2013-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0041270","PLoS ONE",NA,"James F Cahill",2012-04-27,2012-06-19,2012-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001701","PLoS Biology",NA,"Georgina M Mace",NA,NA,2013-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0062111","PLoS ONE",NA,"Matteo Convertino",2013-01-08,2013-03-16,2013-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pcbi.1003594","PLoS Computational Biology",NA,"Jonathan A Eisen",2014-01-09,2014-03-14,2014-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
