doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1098/rspb.2013.1678,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.1678,NA,2013-06-28,2013-08-30,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2972,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2972,NA,NA,NA,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2876,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2876,NA,2013-11-03,2013-11-19,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2816,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2816,NA,2013-10-29,2013-11-20,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2703,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2703,NA,2013-10-16,2013-11-13,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2683,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2683,NA,2013-10-15,2013-11-20,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2661,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2661,NA,2013-10-10,2013-11-13,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2645,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2645,NA,2013-10-09,2013-11-19,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2599,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2599,NA,2013-10-03,2013-11-14,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2483,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2483,NA,2013-09-22,2013-11-15,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2167,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2167,NA,2013-08-20,2013-11-21,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.2123,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.2123,NA,2013-08-14,2013-11-20,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.1800,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.1800,NA,2013-07-11,2013-11-20,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.1580,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.1580,NA,2013-06-18,2013-11-13,2013-12-11,NA,2014-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2616,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2616,NA,2012-11-07,2012-12-06,2013-01-02,NA,2013-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2576,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2576,NA,2012-10-31,2012-12-06,2013-01-02,NA,2013-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2573,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2573,NA,2012-10-31,2012-12-07,2013-01-02,NA,2013-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2433,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2433,NA,2012-10-13,2012-12-06,2013-01-02,NA,2013-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2373,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2373,NA,2012-10-06,2012-12-07,2013-01-02,NA,2013-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2129,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2129,NA,2012-09-11,2012-12-05,2013-01-02,NA,2013-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.0304,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.0304,NA,NA,NA,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.0077,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.0077,NA,2013-01-13,2013-01-25,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.0053,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.0053,NA,2013-01-08,2013-01-24,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.3048,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.3048,NA,2012-12-21,2013-01-22,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.3020,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.3020,NA,2012-12-18,2013-01-25,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2955,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2955,NA,2012-12-13,2013-01-23,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2730,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2730,NA,2012-11-18,2013-01-25,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2722,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2722,NA,2012-11-16,2013-01-23,2013-02-20,NA,2013-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.0200,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.0200,NA,2013-01-27,2013-02-11,2013-03-06,NA,2013-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.0176,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.0176,NA,2013-01-24,2013-02-12,2013-03-06,NA,2013-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2013.0102,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2013.0102,NA,2013-01-15,2013-02-08,2013-03-06,NA,2013-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.3075,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.3075,NA,2012-12-27,2013-02-11,2013-03-06,NA,2013-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
