doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1007/s00442-012-2439-0,Oecologia,http://link.springer.com/10.1007/s00442-012-2439-0,NA,2011-08-11,2012-08-14,2012-09-05,NA,2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2563-x,Oecologia,http://link.springer.com/10.1007/s00442-012-2563-x,NA,2012-02-22,2012-12-09,2013-01-01,NA,2013-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2535-1,Oecologia,http://link.springer.com/10.1007/s00442-012-2535-1,NA,2011-07-07,2012-11-13,2012-11-28,NA,2013-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2466-x,Oecologia,http://link.springer.com/10.1007/s00442-012-2466-x,NA,2011-12-26,2012-09-04,2012-10-02,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2469-7,Oecologia,http://link.springer.com/10.1007/s00442-012-2469-7,NA,2011-10-12,2012-09-04,2012-10-02,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2467-9,Oecologia,http://link.springer.com/10.1007/s00442-012-2467-9,NA,2012-03-09,2012-09-04,2012-10-02,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2459-9,Oecologia,http://link.springer.com/10.1007/s00442-012-2459-9,NA,2011-10-02,2012-08-29,2012-12-15,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2448-z,Oecologia,http://link.springer.com/10.1007/s00442-012-2448-z,NA,2011-06-08,2012-08-22,2012-09-11,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2444-3,Oecologia,http://link.springer.com/10.1007/s00442-012-2444-3,NA,2011-11-03,2012-08-19,2012-09-11,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2446-1,Oecologia,http://link.springer.com/10.1007/s00442-012-2446-1,NA,2012-03-22,2012-08-20,2012-09-11,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s00442-012-2451-4,Oecologia,http://link.springer.com/10.1007/s00442-012-2451-4,NA,2012-03-06,2012-08-24,2012-09-08,NA,2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
