doi,journal,volume,issue,editor,submitted,revised,decision,accepted,online,finalversion,issueonline,issuedate
10.1111/j.1461-0248.2006.00898.x,Ecology Letters,9,05,George Hurtt,2005-08-30,NA,2005-10-11,2005-01-11,2006-03-24,NA,2006-03-24,2006-05-01
10.1890/0012-9658(2005)86[2257:rateh]2.0.co;2,Ecology,86,08,NA,NA,NA,NA,NA,2008-09-11,NA,NA,2005-08-01
10.1890/es13-00340.1,Ecosphere,5,03,R. R. Parmenter,2014-10-21,2014-02-01,NA,2014-02-03,2014-03-24,2014-02-27,NA,2014-03-01
10.1525/cond.2012.110084,The Condor,114,11,NA,2011-06-08,NA,NA,2012-04-18,2012-12-30,NA,NA,2012-11-01
10.7717/peerj.406,PeerJ,2,05,Hannah Buckley,2014-03-17,NA,NA,2014-05-08,2014-05-22,NA,NA,NA
10.1098/rspb.2013.2349,Proceedings of the Royal Society B: Biological Sciences,280,11,NA,2013-09-10,NA,NA,2013-10-07,2013-12-22,NA,NA,2013-12-22
10.1111/j.1461-0248.2008.01212.x,Ecology Letters,11,10,Gabriele Sorci,2008-03-10,NA,2008-04-09,2008-05-13,2008-07-09,NA,2008-09-01,2008-10-01
10.1890/09-0760.1,Ecology,91,08,NA,2010-05-04,2009-09-24,NA,2009-12-07,2010-07-21,NA,NA,2010-08-01
10.1890/es11-00162.1,Ecosphere,2,10,J. Jones,2011-06-01,2011-07-25,NA,2011-09-19,2011-10-27,NA,NA,2011-10-01
10.1525/cond.2011.113.4.928,The Condor,113,11,NA,NA,NA,NA,NA,2013-12-31,NA,NA,2011-11-01
10.7717/peerj.310,PeerJ,2,03,William Amos,2013-12-23,NA,NA,2014-02-25,2014-03-13,NA,NA,NA
10.1098/rspb.2007.0312,Proceedings of the Royal Society B: Biological Sciences,274,06,NA,2007-03-07,NA,NA,2007-03-23,2007-06-22,NA,NA,2007-06-22
10.1098/rsbl.2013.0578,Biology Letters,9,10,NA,2013-06-25,NA,NA,2013-09-12,2013-12-23,NA,NA,2013-12-23
10.1111/j.1461-0248.2008.01190.x,Ecology Letters,11,07,Thomas Crist,2007-12-21,NA,2008-01-28,2008-03-07,2008-04-16,NA,2008-04-16,2008-07-01
10.1890/11-1180.1,Ecology,93,03,D. S. Srivastav,2011-06-29,2011-08-19,NA,2011-09-01,2012-04-17,NA,NA,2012-03-01
10.1890/es13-00067.1,Ecosphere,4,05,D. P. C. Peters,2013-02-25,2013-03-27,NA,2013-04-12,2013-05-29,2013-05-08,NA,2013-05-01
10.1525/cond.2010.090236,The Condor,112,05,NA,2009-12-07,NA,NA,2010-01-05,2010-06-10,NA,NA,2010-05-01
10.7717/peerj.163,PeerJ,1,09,Gabriele Sorci,2013-05-10,NA,NA,2013-08-28,2013-09-17,NA,NA,NA
10.1098/rspb.2008.1088,Proceedings of the Royal Society B: Biological Sciences,276,01,NA,2008-08-05,NA,NA,2008-09-05,2009-01-22,NA,NA,2009-01-22
10.1098/rsbl.2010.0605,Biology Letters,7,09,NA,2010-07-02,NA,NA,2010-09-08,2010-09-29,NA,NA,2011-04-23
10.1111/j.1461-0248.2008.01209.x,Ecology Letters,11,09,Jessica Gurevitch,2008-01-17,NA,2008-02-28,2008-05-02,2008-06-03,NA,2008-08-06,2008-09-01
10.1890/0012-9658-91.3.935,Ecology,91,03,NA,NA,NA,NA,NA,2010-03-25,NA,NA,2010-03-01
10.1890/es13-00019.1,Ecosphere,4,05,J. Benstead,2013-01-17,2013-04-13,NA,2013-04-23,2013-05-29,NA,NA,2013-05-01
10.1525/cond.2012.114.2.fm,The Condor,114,05,NA,NA,NA,NA,NA,2013-12-31,NA,NA,2012-05-01
10.7717/peerj.200,PeerJ,1,11,Xiaolei Huang,2013-07-25,NA,NA,2013-10-12,2013-11-07,NA,NA,NA
10.1098/rspb.2010.2296,Proceedings of the Royal Society B: Biological Sciences,278,01,NA,2010-10-24,NA,NA,2010-12-06,2011-08-22,NA,NA,2011-08-22
10.1098/rsbl.2013.0301,Biology Letters,9,06,NA,2013-04-04,NA,NA,2013-05-25,2013-06-19,NA,NA,2013-08-23
10.1111/j.1461-0248.2007.01048.x,Ecology Letters,10,07,Bernd Blasius,2007-02-01,NA,2007-03-19,2007-04-04,2007-05-08,NA,2007-05-14,2007-07-01
10.1890/0012-9658(2006)87[2409:bamrta]2.0.co;2,Ecology,87,09,NA,NA,NA,NA,NA,2008-09-11,NA,NA,2006-09-01
10.1890/es13-00255.1,Ecosphere,5,05,D. P. C. Peters,2013-08-14,2014-02-05,NA,2014-03-12,2014-05-16,NA,NA,2014-05-01
10.1525/cond.2012.110103,The Condor,114,08,NA,2011-07-07,NA,NA,2011-12-15,2012-09-14,NA,NA,2012-08-01
10.7717/peerj.151,PeerJ,1,09,Robert Toonen,2013-07-16,NA,NA,2013-08-14,2013-09-03,NA,NA,NA
10.1098/rspb.2010.0762,Proceedings of the Royal Society B: Biological Sciences,277,07,NA,2010-04-09,NA,NA,2010-06-14,2010-12-22,NA,NA,2010-12-22
10.1098/rsbl.2010.0456,Biology Letters,7,07,NA,2010-05-13,NA,NA,2010-06-14,2011-02-23,NA,NA,2011-02-23
10.1111/j.1461-0248.2009.01333.x,Ecology Letters,12,08,Paul Rainey,2009-03-14,NA,2009-04-21,2009-05-06,2009-06-22,NA,2009-07-02,2009-08-01
10.1890/07-1015.1,Ecology,89,03,P. M. Groffma,2007-06-21,NA,NA,2007-08-27,2008-09-09,NA,NA,2008-03-01
10.1890/es14-00017.1,Ecosphere,5,05,D. P. C. Peters,2014-01-16,2014-03-11,NA,2014-03-12,2014-05-06,2014-04-02,NA,2014-05-01
10.1525/cond.2011.100068,The Condor,113,05,NA,2010-04-05,NA,NA,2010-11-10,2011-06-17,NA,NA,2011-05-01
10.7717/peerj.100,PeerJ,1,07,Nigel Andrew,2013-02-13,NA,NA,2013-06-18,2013-07-09,NA,NA,NA
10.1098/rspb.2010.1637,Proceedings of the Royal Society B: Biological Sciences,278,12,NA,2010-07-30,NA,NA,2010-11-12,NA,NA,NA,2011-07-07
10.1098/rsbl.2008.0178,Biology Letters,4,10,NA,2008-03-30,NA,NA,2008-06-18,2008-10-23,NA,NA,2008-10-23
10.1111/j.1461-0248.2005.00766.x,Ecology Letters,8,05,Tim Coulson,2005-01-27,NA,2005-03-03,2005-03-18,2005-05-23,NA,2005-05-23,2005-07-01
10.1890/12-2177.1,Ecology,94,06,F. S. Dobso,2012-12-15,2013-02-06,NA,2013-02-20,2013-06-19,NA,NA,2013-06-01
10.1890/es13-00017.1,Ecosphere,4,06,D. P. C. Peters,2013-01-16,NA,NA,NA,2013-06-18,NA,NA,2013-06-01
10.1525/cond.2011.090152,The Condor,113,11,NA,2009-08-11,NA,NA,2011-05-20,2011-12-19,NA,NA,2011-11-01
10.7717/peerj.314,PeerJ,2,03,Sean Brady,2013-12-05,NA,NA,2014-02-28,2014-03-25,NA,NA,NA
10.1098/rspb.2013.3166,Proceedings of the Royal Society B: Biological Sciences,281,03,NA,2013-12-03,NA,NA,2014-02-28,2014-03-26,NA,NA,2014-05-22
10.1098/rsbl.2007.0041,Biology Letters,3,04,NA,2007-01-22,NA,NA,2007-01-29,2007-04-22,NA,NA,2007-04-22
